"Run","Runtime","RAMIdle","CPUIdle","AverageRAMUsage","AverageCPUUsage"
"Run_1","85.7652285","37.8451025434409","69.0281642512269","38.65224546544094","84.84710483196196"
"Run_10","83.1105732","37.3536006401651","38.3378743300028","38.2914362127163","84.13129877551211"
"Run_2","85.7393837","37.739572706106","44.1530973585755","38.53877658101279","83.98153886649736"
"Run_3","85.6097326","37.3758092842474","34.3022477003499","38.3317215695774","84.44749687851312"
"Run_4","85.3929772","37.3318967496352","38.7779131085206","38.29924985493982","83.89666608342029"
"Run_5","90.6278389","37.3472719540231","34.7964043185298","38.391656572979386","89.45745165457933"
"Run_6","85.5057959","37.6948060089943","39.9912096006483","38.34822551253421","84.07125014384579"
"Run_7","83.3753834","37.2942352521453","39.1975665257198","38.26014128518555","83.80263343768756"
"Run_8","88.3283724","37.2641448949613","30.3493207541937","38.491986310516424","86.76249126697587"
"Run_9","82.8595794","37.3594245727545","31.9380316320349","38.346611197721046","85.33599811126102"
