Run,Runtime,RAMIdle,CPUIdle,AverageRAMUsage,AverageCPUUsage
Run_1,25.0963498,37.62088077,100,39.17917656,92.62626314
Run_10,20.9563484,37.83124155,52.85836692,38.64077306,78.38124377
Run_2,21.099041,38.48674566,37.51043653,39.02335665,81.33420436
Run_3,20.9589005,38.16506992,35.95109056,38.87534733,83.71644336
Run_4,21.1350681,38.13416421,34.47638584,38.84336859,82.43083538
Run_5,20.8795586,38.01294855,37.31047581,38.85309987,83.13135763
Run_6,20.9112109,38.01298738,36.39776562,38.84096842,83.21205188
Run_7,20.8443457,38.05332788,36.97248739,38.85834847,81.8253278
Run_8,20.9706348,38.09611444,32.90063633,38.90482354,81.00990209
Run_9,20.7694115,37.9704726,38.20163393,38.79477574,81.46810854
